CRE	mean_exp_0kb	mean_exp_100kb	mean_exp_10kb	mean_exp_20kb	mean_exp_3kb	mean_exp_50kb	norm_mean_exp_0kb	norm_mean_exp_100kb	norm_mean_exp_10kb	norm_mean_exp_20kb	norm_mean_exp_3kb	norm_mean_exp_50kb
HS1	2808.804488849397	2124.765560520847	2320.7216728235476	2428.835276857238	1867.8822918192307	2744.238903935364	2.8177211703449907	1.0712269870334648	1.8529684982422296	1.4943433821413505	2.0429721955158633	1.5203131014624647
HS12	6960.7875902342885	4346.63719609278	7625.318750933963	10473.750714913245	6700.6914790107	11282.965864592568	6.9828849366843535	2.1914112096944316	6.0883972429772415	6.443985813348676	7.328794990082677	6.250782613239227
HS13	5764.994132769151	4549.009474012568	6507.336348424153	8740.518648792344	5935.79444186308	8313.973639479453	5.783295376842899	2.2934397108915103	5.195749840361567	5.377613016312269	6.492198708738261	4.605955782926942
HS14	4245.823546199578	2835.024584395555	4539.713167686667	5830.2739855767095	3974.43278674731	5012.303352489933	4.259302112044317	1.4293129087443406	3.62471104970735	3.5870820180489043	4.3469846637730125	2.7768247306627942
HS2	4552.59886435044	2536.5367513153806	4379.00623744672	5957.264185655673	3935.885548615974	7060.913246729	4.567051302820889	1.2788265548436106	3.496395412950475	3.665212868211107	4.3048241186138485	3.911758157024075
HS23	10033.525015154426	7658.667852873336	10479.526342505947	12432.176883761931	10020.31562009033	13180.160034883536	10.065376910575903	3.8612126632514028	8.367324878531251	7.648909511845949	10.959591132586741	7.301831466520663
HS24	8344.568102877878	4489.924315944225	8480.087626463142	10945.287178434437	7423.702424836972	11758.950360703122	8.371058325421682	2.2636511934983576	6.770883134405347	6.734099103622105	8.119578898600853	6.514478847736939
HS3	1909.4314787128635	2122.030592655636	2854.716269527185	3721.49286164913	2508.510066458763	3834.819341161952	1.9154930584351026	1.0698481189642906	2.2793337868981247	2.289652280037486	2.7436505717689363	2.1244965508467595
HS34	6581.849024960422	4851.33777339874	6849.456552996841	8978.573673702305	6321.936975171749	8601.715485807124	6.602743413174569	2.445862283651496	5.468913989733296	5.524076613267265	6.914537130442199	4.765365263706339
HS4	3050.7510747043066	2016.1868996671417	2418.8227947439927	2550.3928182146306	2068.815948673529	2629.6324402822897	3.0604358269764815	1.0164857045674918	1.9312968435537299	1.5691317834823566	2.2627407943695133	1.4568209222814954
LCR	13910.225028097166	11834.921307642055	13606.85772177065	14016.07439412383	13609.07243272311	14533.979485249669	13.954383689406622	5.966722790374954	10.86432682288398	8.623404071090853	14.884747667764413	8.051849784697971
empty	996.8354989878213	1983.4877073111584	1252.4344990349484	1625.352851214684	914.2964823109493	1805.048513556546	1.0	1.0	1.0	1.0	1.0	1.0
no_HS1	13340.357511063683	10746.719855903802	13084.990519329463	13914.149050134884	13155.850462364358	14258.323768342714	13.38270710123122	5.4180924924774025	10.4476445909243	8.56069439921082	14.389041975871997	7.899136040531716
no_HS2	9855.185623263615	8143.651444156366	9699.15066994913	12002.397870499995	9123.368835141247	11626.295555134975	9.886471371926953	4.105723173447848	7.744237864273715	7.38448753544818	9.978567140585826	6.440987855903832
no_HS3	10695.598529727351	7243.975108346468	11410.811094174991	12763.937077861468	10370.119819223935	13692.596161926484	10.729552208551537	3.6521401577862536	9.110904484799391	7.85302530974891	11.34218496937965	7.585721967631504
no_HS4	12381.83003625521	9795.171365090653	10725.771578048321	13422.88407141265	11751.167476685112	13951.543186642128	12.421136736028783	4.938357484639576	8.563938143122824	8.258443119831643	12.852688054736033	7.729179067410741
