CRE	norm_mean_exp_0kb	norm_mean_exp_3kb	norm_mean_exp_10kb	norm_mean_exp_20kb	norm_mean_exp_50kb	norm_mean_exp_100kb
HS1	2.8177211703449907	2.0429721955158633	1.8529684982422296	1.4943433821413505	1.5203131014624647	1.0712269870334648
HS12	6.9828849366843535	7.328794990082677	6.0883972429772415	6.443985813348676	6.250782613239227	2.1914112096944316
HS13	5.783295376842899	6.492198708738261	5.195749840361567	5.377613016312269	4.605955782926942	2.2934397108915103
HS14	4.259302112044317	4.3469846637730125	3.62471104970735	3.5870820180489043	2.7768247306627942	1.4293129087443406
HS2	4.567051302820889	4.3048241186138485	3.496395412950475	3.665212868211107	3.911758157024075	1.2788265548436106
HS23	10.065376910575903	10.959591132586741	8.367324878531251	7.648909511845949	7.301831466520663	3.8612126632514028
HS24	8.371058325421682	8.119578898600853	6.770883134405347	6.734099103622105	6.514478847736939	2.2636511934983576
HS3	1.9154930584351026	2.7436505717689363	2.2793337868981247	2.289652280037486	2.1244965508467595	1.0698481189642906
HS34	6.602743413174569	6.914537130442199	5.468913989733296	5.524076613267265	4.765365263706339	2.445862283651496
HS4	3.0604358269764815	2.2627407943695133	1.9312968435537299	1.5691317834823566	1.4568209222814954	1.0164857045674918
LCR	13.954383689406622	14.884747667764413	10.86432682288398	8.623404071090853	8.051849784697971	5.966722790374954
empty	1.0	1.0	1.0	1.0	1.0	1.0
no_HS1	13.38270710123122	14.389041975871997	10.4476445909243	8.56069439921082	7.899136040531716	5.4180924924774025
no_HS2	9.886471371926953	9.978567140585826	7.744237864273715	7.38448753544818	6.440987855903832	4.105723173447848
no_HS3	10.729552208551537	11.34218496937965	9.110904484799391	7.85302530974891	7.585721967631504	3.6521401577862536
no_HS4	12.421136736028783	12.852688054736033	8.563938143122824	8.258443119831643	7.729179067410741	4.938357484639576
